,work_year,experience_level,employment_type,job_title,salary_in_usd,remote_ratio,Job Title,min_salary,max_salary,Rating,Company Name,Size
0,2020.0,MI,FT,Data Scientist,79833.0,0.0,,,,,,
1,2020.0,SE,FT,Machine Learning Scientist,260000.0,0.0,2024 University Graduate - Data Scientist,83.0,153.0,4.4,"Adobe
4.4",10000+ Employees
2,2020.0,SE,FT,Big Data Engineer,109024.0,50.0,Data Scientist – Entry Level 2024,71.0,133.0,3.9,"IBM
3.9",10000+ Employees
3,2020.0,MI,FT,Product Data Analyst,20000.0,0.0,Data Scientist 2,94.0,183.0,4.3,"Microsoft
4.3",10000+ Employees
4,2020.0,SE,FT,Machine Learning Engineer,150000.0,50.0,Entry Level Data Scientist 2023/2024,48.0,78.0,3.9,"CPChem
3.9",1001 to 5000 Employees
5,2020.0,EN,FT,Data Analyst,72000.0,100.0,,,,,,
6,2020.0,SE,FT,Lead Data Scientist,190000.0,100.0,Senior Data Scientist,141.0,254.0,3.6,"AT&T
3.6",10000+ Employees
7,2020.0,MI,FT,Data Scientist,35735.0,50.0,Data Scientist,,,3.4,"Ascension
3.4",10000+ Employees
8,2020.0,MI,FT,Business Data Analyst,135000.0,100.0,Data Scientist,102.0,138.0,4.1,"Visa
4.1",10000+ Employees
9,2020.0,SE,FT,Lead Data Engineer,125000.0,50.0,Data Scientist- CalAIM,,,3.3,"Heluna Health
3.3",1001 to 5000 Employees
10,2020.0,EN,FT,Data Scientist,51321.0,0.0,,,,,,
11,2020.0,MI,FT,Data Scientist,40481.0,0.0,Data Scientist,88.0,133.0,4.0,"Spalding Consulting, Inc.
4.0",201 to 500 Employees
12,2020.0,EN,FT,Data Scientist,39916.0,0.0,Data Scientist,122.0,175.0,4.1,"Lawrence Berkeley National Laboratory
4.1",1001 to 5000 Employees
13,2020.0,MI,FT,Lead Data Analyst,87000.0,100.0,Junior Data Scientist,70.0,105.0,3.9,"Publicis Media
3.9",10000+ Employees
14,2020.0,MI,FT,Data Analyst,85000.0,100.0,Entry Level - Associate Data Scientist - Commercial,,,3.9,"IBM
3.9",10000+ Employees
